regiao,categoria,parametro,tipo_veiculo,motorizacao,ano,unidade,valor,continente
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0,Oceania
Australia,Historical,EV stock share,Cars,EV,2011,percent,0.0003900000010617,Oceania
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.0065000001341104,Oceania
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0,Oceania
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0,Oceania
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0,Oceania
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0,Oceania
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.0299999993294477,Oceania
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.0024000001139938,Oceania
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0,Oceania
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0,Oceania
Australia,Historical,EV stock share,Cars,EV,2013,percent,0.0046000001020729,Oceania
Australia,Historical,EV sales share,Cars,EV,2013,percent,0.0340000018477439,Oceania
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0,Oceania
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0,Oceania
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410.0,Oceania
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780.0,Oceania
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100.0,Oceania
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0,Oceania
Australia,Historical,EV sales share,Cars,EV,2014,percent,0.1599999964237213,Oceania
Australia,Historical,EV stock share,Cars,EV,2014,percent,0.0140000004321336,Oceania
Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0,Oceania
Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0,Oceania
Australia,Historical,EV stock share,Cars,EV,2015,percent,0.0270000007003545,Oceania
Australia,Historical,EV sales share,Cars,EV,2015,percent,0.2000000029802322,Oceania
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0,Oceania
Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100.0,Oceania
Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500.0,Oceania
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200.0,Oceania
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800.0,Oceania
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0,Oceania
Australia,Historical,EV sales share,Cars,EV,2016,percent,0.1500000059604644,Oceania
Australia,Historical,EV stock share,Cars,EV,2016,percent,0.0370000004768371,Oceania
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0,Oceania
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200.0,Oceania
Australia,Historical,EV stock share,Cars,EV,2017,percent,0.0520000010728836,Oceania
Australia,Historical,EV sales share,Cars,EV,2017,percent,0.2599999904632568,Oceania
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100.0,Oceania
Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0,Oceania
Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400.0,Oceania
Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200.0,Oceania
Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0,Oceania
Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800.0,Oceania
Australia,Historical,EV sales share,Cars,EV,2018,percent,0.4199999868869781,Oceania
Australia,Historical,EV stock share,Cars,EV,2018,percent,0.0769999995827674,Oceania
Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800.0,Oceania
Australia,Historical,EV stock share,Cars,EV,2019,percent,0.1400000005960464,Oceania
Australia,Historical,EV sales share,Cars,EV,2019,percent,1.2000000476837158,Oceania
Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900.0,Oceania
Australia,Historical,EV stock,Cars,PHEV,2019,Vehicles,8600.0,Oceania
Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,12000.0,Oceania
Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300.0,Oceania
Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200.0,Oceania
Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,17000.0,Oceania
Australia,Historical,EV stock,Cars,PHEV,2020,Vehicles,10000.0,Oceania
Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700.0,Oceania
Australia,Historical,EV sales share,Cars,EV,2020,percent,1.100000023841858,Oceania
Australia,Historical,EV stock share,Cars,EV,2020,percent,0.1800000071525573,Oceania
Australia,Historical,EV stock share,Cars,EV,2021,percent,0.3199999928474426,Oceania
Australia,Historical,EV sales share,Cars,EV,2021,percent,2.799999952316284,Oceania
Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,3400.0,Oceania
Australia,Historical,EV sales,Cars,FCEV,2021,Vehicles,44.0,Oceania
Australia,Historical,EV stock,Cars,PHEV,2021,Vehicles,14000.0,Oceania
Australia,Historical,EV stock,Cars,BEV,2021,Vehicles,34000.0,Oceania
Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,17000.0,Oceania
Australia,Historical,EV stock,Cars,FCEV,2021,Vehicles,44.0,Oceania
Australia,Historical,EV stock,Cars,FCEV,2022,Vehicles,100.0,Oceania
Australia,Historical,EV sales,Cars,BEV,2022,Vehicles,33000.0,Oceania
Australia,Historical,EV stock,Cars,BEV,2022,Vehicles,67000.0,Oceania
Australia,Historical,EV stock,Cars,PHEV,2022,Vehicles,21000.0,Oceania
Australia,Historical,EV sales,Cars,FCEV,2022,Vehicles,15.0,Oceania
Australia,Historical,EV sales,Cars,PHEV,2022,Vehicles,5900.0,Oceania
Australia,Historical,EV sales share,Cars,EV,2022,percent,5.099999904632568,Oceania
Australia,Historical,EV stock share,Cars,EV,2022,percent,0.5899999737739563,Oceania
Australia,Historical,EV stock share,Cars,EV,2023,percent,1.2000000476837158,Oceania
Australia,Historical,EV sales share,Cars,EV,2023,percent,12.0,Oceania
Australia,Historical,EV sales,Cars,PHEV,2023,Vehicles,11000.0,Oceania
Australia,Historical,EV sales,Cars,FCEV,2023,Vehicles,6.0,Oceania
Australia,Historical,EV stock,Cars,PHEV,2023,Vehicles,31000.0,Oceania
Australia,Historical,EV stock,Cars,BEV,2023,Vehicles,150000.0,Oceania
Australia,Historical,EV sales,Cars,BEV,2023,Vehicles,87000.0,Oceania
Australia,Historical,EV stock,Cars,FCEV,2023,Vehicles,65.0,Oceania
Austria,Historical,EV stock,Cars,BEV,2010,Vehicles,350.0,Europe
Austria,Historical,EV stock share,Cars,EV,2010,percent,0.0078999996185302,Europe
Austria,Historical,EV stock share,Cars,EV,2011,percent,0.0219999998807907,Europe
Austria,Historical,EV stock,Cars,BEV,2011,Vehicles,990.0,Europe
Austria,Historical,EV stock,Cars,BEV,2012,Vehicles,1400.0,Europe
Austria,Historical,EV stock share,Cars,EV,2012,percent,0.032999999821186,Europe
Austria,Historical,EV stock,Cars,PHEV,2012,Vehicles,140.0,Europe
Austria,Historical,EV stock,Cars,PHEV,2013,Vehicles,410.0,Europe
Austria,Historical,EV sales share,Cars,EV,2013,percent,0.2000000029802322,Europe
Austria,Historical,EV stock share,Cars,EV,2013,percent,0.0529999993741512,Europe
Austria,Historical,EV stock,Cars,BEV,2013,Vehicles,2100.0,Europe
Austria,Historical,EV sales,Cars,BEV,2013,Vehicles,650.0,Europe
Austria,Historical,EV sales,Cars,BEV,2014,Vehicles,1700.0,Europe
Austria,Historical,EV stock,Cars,BEV,2014,Vehicles,3400.0,Europe
Austria,Historical,EV stock share,Cars,EV,2014,percent,0.0890000015497207,Europe
Austria,Historical,EV sales share,Cars,EV,2014,percent,0.5699999928474426,Europe
Austria,Historical,EV stock,Cars,PHEV,2014,Vehicles,780.0,Europe
Austria,Historical,EV stock,Cars,FCEV,2014,Vehicles,3.0,Europe
Austria,Historical,EV sales,Cars,FCEV,2014,Vehicles,6.0,Europe
Austria,Historical,EV sales,Cars,FCEV,2015,Vehicles,4.0,Europe
Austria,Historical,EV stock,Cars,FCEV,2015,Vehicles,6.0,Europe
Austria,Historical,EV sales,Cars,PHEV,2015,Vehicles,1100.0,Europe
Austria,Historical,EV stock,Cars,PHEV,2015,Vehicles,1500.0,Europe
Austria,Historical,EV sales share,Cars,EV,2015,percent,0.8999999761581421,Europe
Austria,Historical,EV stock share,Cars,EV,2015,percent,0.1400000005960464,Europe
Austria,Historical,EV stock,Cars,BEV,2015,Vehicles,5000.0,Europe
Austria,Historical,EV sales,Cars,BEV,2015,Vehicles,1700.0,Europe
Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,3800.0,Europe
Austria,Historical,EV stock,Cars,BEV,2016,Vehicles,9100.0,Europe
Austria,Historical,EV stock share,Cars,EV,2016,percent,0.2399999946355819,Europe
Austria,Historical,EV sales share,Cars,EV,2016,percent,1.5,Europe
Austria,Historical,EV stock,Cars,PHEV,2016,Vehicles,2300.0,Europe
Austria,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200.0,Europe
Austria,Historical,EV stock,Cars,FCEV,2016,Vehicles,13.0,Europe
Austria,Historical,EV stock,Cars,FCEV,2017,Vehicles,19.0,Europe
Austria,Historical,EV sales,Cars,PHEV,2017,Vehicles,1700.0,Europe
Austria,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0,Europe
Austria,Historical,EV sales,Cars,FCEV,2017,Vehicles,2.0,Europe
Austria,Historical,EV sales share,Cars,EV,2017,percent,2.0,Europe
Austria,Historical,EV stock share,Cars,EV,2017,percent,0.3799999952316284,Europe
Austria,Historical,EV stock,Cars,BEV,2017,Vehicles,15000.0,Europe
Austria,Historical,EV sales,Cars,BEV,2017,Vehicles,5400.0,Europe
Austria,Historical,EV sales,Cars,BEV,2018,Vehicles,6800.0,Europe
Austria,Historical,EV stock,Cars,BEV,2018,Vehicles,21000.0,Europe
Austria,Historical,EV stock share,Cars,EV,2018,percent,0.5299999713897705,Europe
Austria,Historical,EV sales share,Cars,EV,2018,percent,2.5999999046325684,Europe
Austria,Historical,EV sales,Cars,FCEV,2018,Vehicles,7.0,Europe
Austria,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0,Europe
Austria,Historical,EV sales,Cars,PHEV,2018,Vehicles,2300.0,Europe
Austria,Historical,EV stock,Cars,FCEV,2018,Vehicles,24.0,Europe
Austria,Historical,EV stock,Cars,FCEV,2019,Vehicles,41.0,Europe
Austria,Historical,EV sales,Cars,PHEV,2019,Vehicles,2200.0,Europe
Austria,Historical,EV stock,Cars,PHEV,2019,Vehicles,8000.0,Europe
Austria,Historical,EV sales,Cars,FCEV,2019,Vehicles,19.0,Europe
Austria,Historical,EV sales share,Cars,EV,2019,percent,3.5,Europe
Austria,Historical,EV stock share,Cars,EV,2019,percent,0.75,Europe
Austria,Historical,EV stock,Cars,BEV,2019,Vehicles,30000.0,Europe
Austria,Historical,EV sales,Cars,BEV,2019,Vehicles,9300.0,Europe
Austria,Historical,EV sales,Cars,BEV,2020,Vehicles,16000.0,Europe
Austria,Historical,EV stock,Cars,BEV,2020,Vehicles,45000.0,Europe
Austria,Historical,EV stock share,Cars,EV,2020,percent,1.2000000476837158,Europe
Austria,Historical,EV sales share,Cars,EV,2020,percent,9.5,Europe
Austria,Historical,EV sales,Cars,FCEV,2020,Vehicles,14.0,Europe
Austria,Historical,EV stock,Cars,PHEV,2020,Vehicles,15000.0,Europe
Austria,Historical,EV sales,Cars,PHEV,2020,Vehicles,7600.0,Europe
Austria,Historical,EV stock,Cars,FCEV,2020,Vehicles,45.0,Europe
Austria,Historical,EV stock,Cars,FCEV,2021,Vehicles,55.0,Europe
Austria,Historical,EV sales,Cars,PHEV,2021,Vehicles,15000.0,Europe
Austria,Historical,EV stock,Cars,PHEV,2021,Vehicles,29000.0,Europe
Austria,Historical,EV sales,Cars,FCEV,2021,Vehicles,14.0,Europe
Austria,Historical,EV sales share,Cars,EV,2021,percent,20.0,Europe
Austria,Historical,EV stock share,Cars,EV,2021,percent,2.0999999046325684,Europe
Austria,Historical,EV stock,Cars,BEV,2021,Vehicles,77000.0,Europe
Austria,Historical,EV sales,Cars,BEV,2021,Vehicles,33000.0,Europe
Austria,Historical,EV sales,Cars,BEV,2022,Vehicles,34000.0,Europe
Austria,Historical,EV stock,Cars,BEV,2022,Vehicles,110000.0,Europe
Austria,Historical,EV stock share,Cars,EV,2022,percent,3.0,Europe
Austria,Historical,EV sales share,Cars,EV,2022,percent,22.0,Europe
Austria,Historical,EV sales,Cars,FCEV,2022,Vehicles,14.0,Europe
Austria,Historical,EV stock,Cars,PHEV,2022,Vehicles,42000.0,Europe
Austria,Historical,EV sales,Cars,PHEV,2022,Vehicles,13000.0,Europe
Austria,Historical,EV stock,Cars,FCEV,2022,Vehicles,62.0,Europe
Austria,Historical,EV stock,Cars,FCEV,2023,Vehicles,89.0,Europe
Austria,Historical,EV sales,Cars,PHEV,2023,Vehicles,17000.0,Europe
Austria,Historical,EV stock,Cars,PHEV,2023,Vehicles,61000.0,Europe
Austria,Historical,EV sales,Cars,FCEV,2023,Vehicles,9.0,Europe
Austria,Historical,EV sales share,Cars,EV,2023,percent,26.0,Europe
Austria,Historical,EV stock share,Cars,EV,2023,percent,4.400000095367432,Europe
Austria,Historical,EV stock,Cars,BEV,2023,Vehicles,160000.0,Europe
Austria,Historical,EV sales,Cars,BEV,2023,Vehicles,48000.0,Europe
Belgium,Historical,EV sales share,Cars,EV,2010,percent,0.0099999997764825,Europe
Belgium,Historical,EV stock share,Cars,EV,2010,percent,0.001300000003539,Europe
Belgium,Historical,EV stock,Cars,FCEV,2010,Vehicles,1.0,Europe
Belgium,Historical,EV sales,Cars,PHEV,2010,Vehicles,8.0,Europe
Belgium,Historical,EV stock,Cars,PHEV,2010,Vehicles,9.0,Europe
Belgium,Historical,EV sales,Cars,BEV,2010,Vehicles,48.0,Europe
Belgium,Historical,EV stock,Cars,BEV,2010,Vehicles,61.0,Europe
Belgium,Historical,EV stock,Cars,BEV,2011,Vehicles,320.0,Europe
Belgium,Historical,EV sales,Cars,BEV,2011,Vehicles,280.0,Europe
Belgium,Historical,EV stock,Cars,PHEV,2011,Vehicles,26.0,Europe
Belgium,Historical,EV sales,Cars,PHEV,2011,Vehicles,16.0,Europe
Belgium,Historical,EV stock,Cars,FCEV,2011,Vehicles,1.0,Europe
Belgium,Historical,EV stock share,Cars,EV,2011,percent,0.0065000001341104,Europe
Belgium,Historical,EV sales share,Cars,EV,2011,percent,0.0520000010728836,Europe
Belgium,Historical,EV sales share,Cars,EV,2012,percent,0.1899999976158142,Europe
Belgium,Historical,EV stock share,Cars,EV,2012,percent,0.0219999998807907,Europe
Belgium,Historical,EV stock,Cars,FCEV,2012,Vehicles,1.0,Europe
Belgium,Historical,EV sales,Cars,PHEV,2012,Vehicles,340.0,Europe
